#time	id	x[m]	y[m]	speed[m/s]	heading	acc[m/s^2]
50.00	18341	608.97	2.00	13.61		0.00	0.03
50.00	18346	604.36	1.00	15.20		0.00	-0.04
50.00	18348	589.78	0.00	15.36		0.00	-0.09
50.00	18344	578.06	2.00	13.93		0.00	-0.00
50.00	18349	574.60	1.00	15.25		0.00	0.18
50.00	18351	559.67	0.00	15.29		0.00	-0.19
50.00	18352	545.60	1.00	15.02		0.00	0.06
50.00	18347	541.43	2.00	13.91		0.00	0.06
50.00	18354	529.80	0.00	15.38		0.00	-0.03
50.00	18355	515.90	1.00	15.27		0.00	0.03
50.00	18350	512.19	2.00	13.74		0.00	0.06
50.00	18357	499.40	0.00	15.48		0.00	-0.22
50.00	18358	484.73	1.00	15.48		0.00	-0.08
50.00	18353	484.30	2.00	13.67		0.00	-0.18
50.00	18360	469.97	0.00	15.52		0.00	0.07
50.00	18356	456.71	2.00	13.12		0.00	0.01
50.00	18363	453.32	1.00	15.64		0.00	0.07
50.00	18364	434.10	0.00	16.31		0.00	-0.09
50.00	18359	430.43	2.00	12.93		0.00	-0.12
50.00	18365	395.83	1.00	18.01		0.00	0.07
50.00	18362	395.46	2.00	13.09		0.00	-0.33
50.00	18368	353.91	1.04	17.22		-0.01	0.08
50.00	18373	313.58	2.00	15.95		0.00	0.32
50.00	18371	250.91	2.00	14.14		0.00	0.12
50.00	18	226.25	1.00	9.14		0.00	0.13
50.00	18369	209.07	0.00	9.92		0.00	0.48
50.00	18374	199.97	2.00	12.33		0.00	0.23
50.00	18370	183.65	1.00	8.39		0.00	0.39
50.00	21	170.11	0.00	7.06		0.00	0.34
50.00	18379	154.56	2.00	9.03		0.00	0.19
50.00	24	142.86	1.00	6.48		0.00	0.21
50.00	18377	130.76	2.00	8.06		0.00	0.31
50.00	18381	124.57	1.00	5.13		0.00	0.11
50.00	23	111.85	0.00	3.30		0.00	0.35
50.00	18380	110.11	2.00	6.88		0.00	0.38
50.00	18372	95.18	0.00	2.83		0.00	0.31
50.00	18383	85.10	2.00	6.05		0.00	0.33
50.00	18376	79.68	0.00	2.34		0.00	0.26
50.00	18378	78.91	1.00	3.58		0.00	0.14
50.00	18386	70.09	2.00	5.54		0.00	0.08
50.00	18382	66.68	0.00	1.28		0.00	0.30
50.00	18385	59.26	1.00	2.04		0.00	0.45
50.00	18384	56.29	0.00	0.64		0.00	0.07
50.00	18388	47.02	0.00	0.52		0.00	-0.18
50.00	18387	45.20	1.00	0.61		0.00	0.00
50.00	18391	44.07	2.00	2.68		0.00	0.11
50.00	18394	35.91	1.00	1.21		0.00	-0.90
50.00	18390	33.43	0.00	1.58		0.00	-0.09
50.00	18389	31.59	2.00	0.03		0.00	0.06
50.00	18396	25.53	1.00	2.00		0.00	-0.72
50.00	18392	22.95	2.00	0.00		0.00	-4.29
50.00	18393	19.91	0.00	0.56		0.00	0.10
50.00	18397	14.73	1.00	2.08		0.00	-0.46
50.00	18399	10.75	0.00	0.04		0.00	0.20
50.00	18400	6.50	2.00	0.00		0.00	-4.91
50.00	18402	3.36	0.32	3.38		0.12	-1.24
51.00	18395	789.56	2.00	0.00		0.00	-4.32
51.00	18403	785.86	0.68	1.70		-0.23	0.29
51.00	18398	780.80	2.00	1.43		0.00	-2.22
51.00	18405	779.99	0.00	0.00		0.00	-10.00
51.00	18406	779.72	1.00	6.45		0.00	-1.18
51.00	18330	768.91	0.02	5.71		0.02	-1.26
51.00	18401	760.19	2.00	5.07		0.00	-3.30
51.00	18331	760.19	1.00	5.37		0.00	-3.99
51.00	18333	749.67	0.00	10.74		0.00	-2.70
51.00	18404	742.22	2.00	9.05		0.00	-2.52
51.00	18334	738.04	1.00	11.62		0.00	-3.91
51.00	18336	723.47	0.00	14.22		0.00	-1.40
51.00	18407	720.08	2.00	11.22		0.00	-0.82
51.00	18337	709.45	1.00	14.78		0.00	-0.93
51.00	18332	696.76	2.00	11.79		0.00	-0.17
51.00	18339	693.56	0.00	15.05		0.00	-0.33
51.00	18340	678.63	1.00	15.19		0.00	-0.20
