#Detector 0 at road 1 at position x=99 aggregation time [s]=10
#time[s]	flow[veh/h]	speed[km/h]
50		2160		22
60		2520		16
70		1440		18
80		2160		20
90		2520		23
100		1800		25
110		2160		25
120		2520		26
130		2880		27
140		2880		26
150		3600		26
160		2160		36
170		2880		39
180		2160		41
190		3600		43
